City,ZipCode,Type,County,Population
"New York, NY",10001,Standard,New York,"21,102"
"New York, NY",10002,Standard,New York,"81,410"
"New York, NY",10003,Standard,New York,"56,024"
"New York, NY",10004,Standard,New York,"3,089"
"New York, NY",10005,Standard,New York,"7,135"
"New York, NY",10006,Standard,New York,"3,011"
"New York, NY",10007,Standard,New York,"6,988"
"New York, NY",10008,P.O. Box,New York,0
"New York, NY",10009,Standard,New York,"61,347"
"New York, NY",10010,Standard,New York,"31,834"
"New York, NY",10011,Standard,New York,"50,984"
"New York, NY",10012,Standard,New York,"24,090"
"New York, NY",10013,Standard,New York,"27,700"
"New York, NY",10014,Standard,New York,"31,959"
"New York, NY",10016,Standard,New York,"54,183"
"New York, NY",10017,Standard,New York,"16,575"
"New York, NY",10018,Standard,New York,"5,229"
"New York, NY",10019,Standard,New York,"42,870"
"New York, NY",10020,Standard,New York,0
"New York, NY",10021,Standard,New York,"43,631"
"New York, NY",10022,Standard,New York,"31,924"
"New York, NY",10023,Standard,New York,"60,998"
"New York, NY",10024,Standard,New York,"59,283"
"New York, NY",10025,Standard,New York,"94,600"
"New York, NY",10026,Standard,New York,"34,003"
"New York, NY",10027,Standard,New York,"59,707"
"New York, NY",10028,Standard,New York,"45,141"
"New York, NY",10029,Standard,New York,"76,003"
"New York, NY",10030,Standard,New York,"26,999"
"New York, NY",10031,Standard,New York,"56,438"
"New York, NY",10032,Standard,New York,"57,331"
"New York, NY",10033,Standard,New York,"53,926"
"New York, NY",10034,Standard,New York,"38,908"
"New York, NY",10035,Standard,New York,"33,969"
"New York, NY",10036,Standard,New York,"24,711"
"New York, NY",10037,Standard,New York,"17,416"
"New York, NY",10038,Standard,New York,"20,300"
"New York, NY",10039,Standard,New York,"24,527"
"New York, NY",10040,Standard,New York,"41,905"
"New York, NY",10041,Standard,New York,0
"New York, NY",10043,Unique,New York,0
"New York, NY",10044,Standard,New York,"11,661"
"New York, NY",10045,Standard,New York,0
"New York, NY",10055,Standard,New York,0
"New York, NY",10060,Standard,New York,0
"New York, NY",10065,Standard,New York,"32,270"
"New York, NY",10069,Standard,New York,"5,199"
"New York, NY",10075,Standard,New York,"26,121"
"New York, NY",10080,Unique,New York,0
"New York, NY",10081,Unique,New York,0
"New York, NY",10087,Unique,New York,0
"New York, NY",10090,Standard,New York,0
"New York, NY",10101,P.O. Box,New York,0
"New York, NY",10102,Unique,New York,0
"New York, NY",10103,Standard,New York,3
"New York, NY",10104,Standard,New York,0
"New York, NY",10105,Standard,New York,0
"New York, NY",10106,Standard,New York,0
"New York, NY",10107,Standard,New York,0
"New York, NY",10108,P.O. Box,New York,0
"New York, NY",10109,Unique,New York,0
"New York, NY",10110,Standard,New York,0
"New York, NY",10111,Standard,New York,0
"New York, NY",10112,Standard,New York,0
"New York, NY",10113,P.O. Box,New York,0
"New York, NY",10114,Unique,New York,0
"New York, NY",10115,Standard,New York,0
"New York, NY",10116,P.O. Box,New York,0
"New York, NY",10117,Unique,New York,0
"New York, NY",10118,Standard,New York,0
"New York, NY",10119,Standard,New York,92
"New York, NY",10120,Standard,New York,0
"New York, NY",10121,Standard,New York,0
"New York, NY",10122,Standard,New York,0
"New York, NY",10123,Standard,New York,0
"New York, NY",10124,Unique,New York,0
"New York, NY",10125,Unique,New York,0
"New York, NY",10126,Unique,New York,0
"New York, NY",10128,Standard,New York,"60,453"
"New York, NY",10129,P.O. Box,New York,0
"New York, NY",10130,Unique,New York,0
"New York, NY",10131,Unique,New York,0
"New York, NY",10132,Unique,New York,0
"New York, NY",10133,Unique,New York,0
"New York, NY",10138,Unique,New York,0
"New York, NY",10150,P.O. Box,New York,0
"New York, NY",10151,Standard,New York,0
"New York, NY",10152,Standard,New York,0
"New York, NY",10153,Standard,New York,0
"New York, NY",10154,Standard,New York,0
"New York, NY",10155,Standard,New York,0
"New York, NY",10156,P.O. Box,New York,0
"New York, NY",10157,Unique,New York,0
"New York, NY",10158,Standard,New York,0
"New York, NY",10159,P.O. Box,New York,0
"New York, NY",10160,Unique,New York,0
"New York, NY",10162,Standard,New York,"1,685"
"New York, NY",10163,P.O. Box,New York,0
"New York, NY",10164,Unique,New York,0
"New York, NY",10165,Standard,New York,2
"New York, NY",10166,Standard,New York,0
"New York, NY",10167,Standard,New York,0
"New York, NY",10168,Standard,New York,0
"New York, NY",10169,Standard,New York,0
"New York, NY",10170,Standard,New York,2
"New York, NY",10171,Standard,New York,0
"New York, NY",10172,Standard,New York,0
"New York, NY",10173,Standard,New York,2
"New York, NY",10174,Standard,New York,0
"New York, NY",10175,Standard,New York,0
"New York, NY",10176,Standard,New York,0
"New York, NY",10177,Standard,New York,0
"New York, NY",10178,Standard,New York,0
"New York, NY",10179,Unique,New York,0
"New York, NY",10185,P.O. Box,New York,0
"New York, NY",10199,Standard,New York,9
"New York, NY",10203,Unique,New York,0
"New York, NY",10211,Unique,New York,0
"New York, NY",10212,Unique,New York,0
"New York, NY",10213,Unique,New York,0
"New York, NY",10242,P.O. Box,New York,0
"New York, NY",10249,P.O. Box,New York,0
"New York, NY",10256,Unique,New York,0
"New York, NY",10258,Unique,New York,0
"New York, NY",10259,Unique,New York,0
"New York, NY",10260,Standard,New York,0
"New York, NY",10261,Unique,New York,0
"New York, NY",10265,Standard,New York,0
"New York, NY",10268,P.O. Box,New York,0
"New York, NY",10269,Unique,New York,0
"New York, NY",10270,Standard,New York,0
"New York, NY",10271,Standard,New York,0
"New York, NY",10272,P.O. Box,New York,0
"New York, NY",10273,Unique,New York,0
"New York, NY",10274,P.O. Box,New York,0
"New York, NY",10275,Unique,New York,0
"New York, NY",10276,P.O. Box,New York,0
"New York, NY",10277,Unique,New York,0
"New York, NY",10278,Standard,New York,0
"New York, NY",10279,Standard,New York,0
"New York, NY",10280,Standard,New York,"7,853"
"New York, NY",10281,Standard,New York,0
"New York, NY",10282,Standard,New York,"4,783"
"New York, NY",10285,Unique,New York,0
"New York, NY",10286,Unique,New York,0
"Los Angeles, CA",90001,Standard,Los Angeles,"57,110"
"Los Angeles, CA",90002,Standard,Los Angeles,"51,223"
"Los Angeles, CA",90003,Standard,Los Angeles,"66,266"
"Los Angeles, CA",90004,Standard,Los Angeles,"62,180"
"Los Angeles, CA",90005,Standard,Los Angeles,"37,681"
"Los Angeles, CA",90006,Standard,Los Angeles,"59,185"
"Los Angeles, CA",90007,Standard,Los Angeles,"40,920"
"Los Angeles, CA",90008,Standard,Los Angeles,"32,327"
"Los Angeles, CA",90009,P.O. Box,Los Angeles,0
"Los Angeles, CA",90010,Standard,Los Angeles,"3,800"
"Los Angeles, CA",90011,Standard,Los Angeles,"103,892"
"Los Angeles, CA",90012,Standard,Los Angeles,"31,103"
"Los Angeles, CA",90013,Standard,Los Angeles,"11,772"
"Los Angeles, CA",90014,Standard,Los Angeles,"7,005"
"Los Angeles, CA",90015,Standard,Los Angeles,"18,986"
"Los Angeles, CA",90016,Standard,Los Angeles,"47,596"
"Los Angeles, CA",90017,Standard,Los Angeles,"23,768"
"Los Angeles, CA",90018,Standard,Los Angeles,"49,310"
"Los Angeles, CA",90019,Standard,Los Angeles,"64,458"
"Los Angeles, CA",90020,Standard,Los Angeles,"38,967"
"Los Angeles, CA",90021,Standard,Los Angeles,"3,951"
"Los Angeles, CA",90022,Standard,Los Angeles,"67,179"
"Los Angeles, CA",90023,Standard,Los Angeles,"45,903"
"Los Angeles, CA",90024,Standard,Los Angeles,"47,452"
"Los Angeles, CA",90025,Standard,Los Angeles,"42,147"
"Los Angeles, CA",90026,Standard,Los Angeles,"67,869"
"Los Angeles, CA",90027,Standard,Los Angeles,"45,151"
"Los Angeles, CA",90028,Standard,Los Angeles,"28,714"
"Los Angeles, CA",90029,Standard,Los Angeles,"38,617"
"Los Angeles, CA",90030,P.O. Box,Los Angeles,0
"Los Angeles, CA",90031,Standard,Los Angeles,"39,316"
"Los Angeles, CA",90032,Standard,Los Angeles,"45,786"
"Los Angeles, CA",90033,Standard,Los Angeles,"48,852"
